Handle,Title,Option1 Name,Option1 Value,Body (HTML)
legends-of-the-fall-dvd-floor-sale-drama,Legends of the Fall,Genre,Drama,"<p>In early 20th-century Montana, Col. William Ludlow lives on a ranch in the wilderness with his sons, Alfred, Tristan, and Samuel. Eventually, the unconventional but close-knit family are bound by loyalty, tested by war, and torn apart by love, as told over the course of several decades in this epic saga.</p>"
transcendence-bluray-floor-sale-sci-fi,Transcendence,Genre,Sci-Fi,"<p>Two leading computer scientists work toward their goal of Technological Singularity,  as a radical anti-technology organization fights to prevent them from creating a world where computers can transcend the abilities of the human brain.</p>"
in-time-bluray-floor-sale-thriller,In Time,Genre,Thriller,"<p>In the not-too-distant future, the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest struggle to negotiate for their immortality. A poor young man who suddenly comes into a fortune of time finds himself on the run from a corrupt police force known as the ""time keepers"".</p>"
troy-directors-cut-bluray-floor-sale-action,Troy: Directors Cut,Genre,Action,"<p>In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. They set off with 1,000 ships holding 50,000 Greeks to Troy.</p>"
venom-bluray-floor-sale-action,Venom,Genre,Action,"<p>Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.</p>"
vantage-point-dvd-floor-sale-action,Vantage Point,Genre,Action,"<p>During an historic counter-terrorism summit in Spain, the President of the United States is struck down by an assassin's bullet. Eight strangers have a perfect view of the kill, but what did they really see? As the minutes leading up to the fatal shot are replayed through the eyes of each eyewitness, the reality of the assassination takes shape.</p>"
valkyrie-dvd-floor-sale-action,Valkyrie,Genre,Action,"<p>Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.</p>"
tombstone-bluray-floor-sale-action,Tombstone,Genre,Action,"<p>Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.</p>"
suicide-squad-bluray-floor-sale-action,Suicide Squad,Genre,Action,"<p>From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.</p>"
the-wedding-date-dvd-floor-sale-romantic-comedy,The Wedding Date,Genre,Romantic Comedy,"<p>With the wedding of her younger sister fast approaching, Kat Ellis faces the undesirable prospect of traveling alone to London for the ceremony. While this is bad enough, Jeffrey, the man who left her as they moved closer to marriage, happens to be the groom's best man. Determined to show everyone -- most of all Jeffrey -- that her romantic life is as full and thrilling as ever, Kat hires a charming male escort as her date.</p>"
a-walk-in-the-clouds-dvd-floor-sale-drama,A Walk in the Clouds,Genre,Drama,<p>World War II vet Paul Sutton falls for a pregnant and unwed woman who persuades him -- during their first encounter -- to pose as her husband so she can face her family.</p>
vice-bluray-floor-sale-sci-fi,Vice,Genre,Sci-Fi,"<p>Julian Michaels has designed the ultimate resort: VICE, where anything goes and the customers can play out their wildest fantasies with artificial inhabitants who look, think and feel like humans. When an artificial becomes self-aware and escapes, she finds herself caught in the crossfire between Julian's mercenaries and a cop who is hell-bent on shutting down Vice, and stopping the violence once and for all.</p>"
wyatt-earp-bluray-floor-sale-drama,Wyatt Earp,Genre,Drama,"<p>From Wichita to Dodge City, to the O.K. Corral in Tombstone, Wyatt Earp is taught that nothing matters more than family and the law. Joined by his brothers and Doc Holliday, Earp wages war on the dreaded Clanton and McLaury gangs.</p>"
logan-bluray-floor-sale-action,Logan,Genre,Action,"<p>In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.</p>"
zombieland-bluray-floor-sale-horror,Zombieland,Genre,Horror,"<p>Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.</p>"
wild-card-bluray-floor-sale-action,Wild Card,Genre,Action,"<p>When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play… and it's all or nothing.</p>"
lock-out-bluray-floor-sale-action,Lock Out,Genre,Action,"<p>Set in the near future, Lockout follows a falsely convicted ex-government agent , whose one chance at obtaining freedom lies in the dangerous mission of rescuing the President's daughter from rioting convicts at an outer space maximum security prison.</p>"
to-kill-a-king-bluray-floor-sale-action,To Kill a King,Genre,Action,"<p>A recounting of the relationship between General Fairfax and Oliver Cromwell, as they try to cope with the consequences of deposing King Charles I.</p>"
killers-bluray-floor-sale-comedy,Killers,Genre,Comedy,"<p>When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.</p>"
the-host-bluray-floor-sale-thriller,The Host,Genre,Thriller,"<p>John has escaped from prison. Warwick is preparing for a dinner party. They are about to share a memorable evening: a bit of wine, some dancing, and captivating conversation. A perfect night in this disturbing black comedy.</p>"
how-the-west-was-won-dvd-floor-sale-action,How the West Was Won,Genre,Action,"<p>The epic tale of the development of the American West from the 1830s through the Civil War to the end of the century, as seen through the eyes of one pioneer family.</p>"
legend-bluray-floor-sale-fantasy,Legend,Genre,Fantasy,"<p>Set in a timeless mythical forest inhabited by fairies, goblins, unicorns and mortals, this fantastic story follows a mystical forest dweller, chosen by fate, to undertake a heroic quest. He must save the beautiful Princess  Lili and defeat the demonic Lord of Darkness, or the world will be plunged into a never-ending ice age.</p>"
kin-bluray-floor-sale-4k-sci-fi,KIN,Genre,Sci-Fi,"<p>A young boy finds a powerful otherworldly weapon, which he uses to save his older adoptive brother from a crew of thugs. Before long, the two of them are also pursued by federal agents and mysterious mercenaries aiming to reclaim their asset.</p>"
hairspray-dvd-floor-sale-musical,Hairspray,Genre,Musical,"<p>'Pleasantly plump' teenager Tracy Turnblad achieves her dream of becoming a regular on the Corny Collins Dance Show. Now a teen hero, she starts using her fame to speak out for the causes she believes in, most of all integration. In doing so, she earns the wrath of the show's former star, Amber Von Tussle, as well as Amber's manipulative, pro-segregation parents. The rivalry comes to a head as Amber and Tracy vie for the title of Miss Auto Show 1963.</p>"
tomorrowland-bluray-floor-sale-kids-family,Tomorrowland,Genre,Kids & Family,"<p>Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""</p>"
immortals-bluray-floor-sale-action,Immortals,Genre,Action,"<p>Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.</p>"
